1654:30094,30094,30094,30054,30004,30029,30094,30054,30048,30048,30094,30016,30048,30019,30094,30089,30075,30094,30094,30008,30043,30089,30094,30089,30054,30062,30094,30094,30094,30094,30054,30094,30094,30094,30054,30080,30094,30075,30054,30094,30094,30077,30094,30094,30005,30088,30094,30009,30089,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30094,30004,30004,30004,30004,30004,30004,30004,30004,30004,30004,30004,30004
1126:30085,30032,30032,30085,30088,30032,30088,30088,30088,30085,30015,30040,30085,30071,30033,30085,30085,30085,30085,30088,30085,30085,30085,30076,30007,30088,30073,30014,30011,30088,30085,30088,30085,30076,30047,30040,30088,30085,30085,30032,30085,30032,30085,30088,30085,30088,30062,30062,30076,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30032,30007,30007,30007,30007,30007,30007,30007,30007,30007,30007,30007,30007
1655:30078,30000,30078,30022,30000,30029,30078,30078,30000,30022,30052,30029,30015,30028,30078,30022,30074,30028,30022,30078,30022,30022,30053,30022,30033,30000,30022,30022,30078,30022,30078,30022,30053,30022,30035,30022,30022,30078,30053,30050,30022,30022,30000,30009,30022,30078,30022,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
1127:30076,30008,30027,30078,30076,30076,30076,30076,30076,30076,30078,30076,30076,30078,30076,30032,30027,30076,30008,30076,30076,30076,30076,30076,30076,30076,30016,30076,30076,30076,30021,30076,30027,30013,30076,30064,30076,30076,30027,30034,30076,30076,30076,30076,30076,30076,30022,30078,30021,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30058,30008,30008,30008,30008,30008,30008,30008,30008,30008,30008,30008,30008
1656:30055,30055,30055,30057,30055,30005,30035,30080,30055,30035,30005,30035,30052,30093,30035,30026,30055,30054,30035,30055,30005,30055,30055,30035,30055,30079,30066,30035,30055,30055,30035,30052,30052,30052,30055,30035,30061,30055,30055,30001,30055,30057,30035,30055,30055,30005,30055,30035,30005,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30055,30001,30001,30001,30001,30001,30001,30001,30001,30001,30001,30001,30001
1129:30000,30065,30072,30065,30010,30065,30010,30032,30001,30001,30010,30072,30010,30010,30080,30010,30077,30010,30068,30001,30001,30010,30010,30049,30026,30065,30006,30010,30010,30056,30010,30010,30072,30010,30003,30018,30065,30050,30065,30011,30032,30010,30001,30032,30065,30065,30018,30007,30010,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30028,30001,30001,30001,30001,30001,30001,30001,30001,30001,30001,30001,30001
1658:30012,30012,30044,30084,30012,30084,30093,30084,30066,30012,30075,30010,30012,30012,30033,30006,30067,30012,30098,30012,30012,30012,30084,30012,30084,30066,30012,30066,30012,30071,30084,30093,30012,30075,30066,30012,30012,30012,30084,30009,30012,30053,30000,30021,30012,30012,30033,30075,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30012,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
1132:30066,30065,30071,30071,30071,30047,30071,30071,30071,30071,30018,30065,30071,30065,30047,30038,30071,30065,30071,30071,30071,30045,30018,30065,30071,30065,30047,30071,30032,30065,30071,30071,30065,30057,30003,30090,30090,30090,30071,30071,30073,30071,30071,30071,30071,30071,30071,30065,30026,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30003,30003,30003,30003,30003,30003,30003,30003,30003,30003,30003,30003
1662:30014,30097,30050,30025,30050,30088,30050,30050,30050,30050,30097,30025,30039,30097,30039,30050,30097,30097,30073,30039,30097,30031,30097,30002,30067,30050,30097,30097,30097,30050,30097,30097,30051,30097,30039,30050,30043,30039,30097,30050,30097,30093,30066,30007,30097,30000,30073,30000,30073,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
1663:30048,30036,30048,30055,30031,30048,30027,30048,30055,30048,30048,30036,30048,30048,30050,30048,30048,30074,30048,30048,30048,30036,30048,30036,30048,30093,30029,30046,30048,30097,30042,30006,30048,30069,30036,30048,30001,30029,30053,30056,30048,30048,30048,30048,30048,30029,30006,30048,30048,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30001,30001,30001,30001,30001,30001,30001,30001,30001,30001,30001,30001
